Número,Infinitivo,Español,я,ты,он,она,мы,вы,они
1, делать ,hacer,делаю,делаешь,делаете,,,,
2,рассказывать ,"narrar, cantar",,,,,,,
3,работать , trabajar,,,,,,,
4,говорить ,"hablar, decir",,,,,,,
5,показывать ,"mostrar, enseñar",,,,,,,
6,покупать ,comprar,,,,,,,
7,гулять , pasear,,,,,,,
8,строить ,construir,,,,,,,
9,читать , leer,,,,,,,
10,слушать ,escuchar,,,,,,, 
11,объяснять ,explicar,,,,,,,
12,курить ,fumar,,,,,,,
13,смотреть ,mirar,,,,,,,
14,отдыхать ,descansar,,,,,,,
15,думать ,"pensar, creer",,,,,,,
16,знать ," saber, conocer",,,,,,,
17,играть ,jugar,,,,,,,
18,понимать ," entender, comprender",,,,,,,
19,писать , escribir,,,,,,,
20,рисовать ,dibujar,,,,,,,
21,танцевать ,bailar,,,,,,,
22,любить ,"gustar , amar",,,,,,,
23,готовить ,cocinar,,,,,,,
24,видеть , ver,,,,,,,
25,фотографировать , sacar fotos,,,,,,,
26,советовать , aconsejar,,,,,,,
27,целовать , besar,,,,,,,
28,искать , buscar,,,,,,,
29,спать ,dormir,,,,,,,
30,хотеть ,"querer, desear",,,,,,,
31,заниматься ,repasar,,,,,,,
32,учиться , estudiar,,,,,,,
33,купаться ,"bañarse, meterse al agua",,,,,,,
34,целоваться ,besarse,,,,,,,
35,кататься (на велосипеде) ,andar en bicicleta,,,,,,,
36,встречаться ,quedar de verse,,,,,,,
